Product Name,Aisle,Category,Price,Store,Zip Code
bandaids,1,first aid ,1.87,Meijer,48066
bar soap ,17,personal products,1.00,Meijer,48066
bath powder,17,personal products,3.74,Meijer,48066
Bath Tissue,16,,3.04,Meijer,48066
BBQ sauce ,5,BBQ supplies,2.09,Meijer,48066
beans,4,bbq supplies,2.10,Meijer,48066
beer keg ,12,party supplies,39.74,Meijer,48066
book paperback,19,news,3.30,Meijer,48066
bread crums,6,dry goods,2.74,Meijer,48066
butter,19,dairy ,1.20,Meijer,48066
cake mixes,6,baking needs,3.30,Meijer,48066
candies,9,baking ,1.74,Meijer,48066
Canned Vegetables,3,,4.34,Meijer,48066
cheese ,19,dairy ,2.18,Meijer,48066
chopped nuts ,6,,1.88,Meijer,48066
cigarettes,1,dry grocery ,9.74,Meijer,48066
cigars,1,dry grocery ,3.42,Meijer,48066
coffee,5,dry grocery ,5.65,Meijer,48066
cones,14,dry grocery ,1.74,Meijer,48066
cookie sheet ,6,bakeware,5.74,Meijer,48066
cookies ,11,dry grocery ,3.04,Meijer,48066
cookware,6,dry grocery ,2.05,Meijer,48066
cotton balls,16,personal goods,2.09,Meijer,48066
crackers,11,dry grocery ,1.78,Meijer,48066
crayons,8,art supplies,1.00,Meijer,48066
croutons,6,dry grocery ,1.20,Meijer,48066
Cups,14,,1.14,Meijer,48066
deodorant,18,personal goods ,1.78,Meijer,48066
detergent,8,laundry ,4.30,Meijer,48066
diapers ,7,baby,15.74,Meijer,48066
dishwaser detergent ,8,kitchen supplies ,6.74,Meijer,48066
distilled water,12,kitchen supplies,2.08,Meijer,48066
dog food,15,pet supplies ,11.70,Meijer,48066
doughnuts,1,bakery fresh ,0.64,Meijer,48066
Dr. Scholl's ,16,,2.25,Meijer,48066
dried bananas,6,dried food ,0.97,Meijer,48066
eggs,19,dairy ,0.84,Meijer,48066
ethnic food,4,dry grocery ,2.86,Meijer,48066
evaporated milk,6,dairy ,2.51,Meijer,48066
Facial ,16,,2.74,Meijer,48066
floor cleaner ,8,kitchen supplies ,4.30,Meijer,48066
floor wax,8,kitchen supplies ,6.30,Meijer,48066
flour,6,baking needs,3.31,Meijer,48066
foot powder ,16,personal goods,2.73,Meijer,48066
frozen dinner,13,frozen foods,2.96,Meijer,48066
frozen dinners ,13,frozen foods,4.30,Meijer,48066
frozen pie ,13,frozen bakery ,3.29,Meijer,48066
frozen pies ,12,bakery frozen,7.74,Meijer,48066
Frozen Pizza,13,,6.74,Meijer,48066
Frozen Vegetables,12,,3.24,Meijer,48066
frozen vegtables ,12,frozen foods,3.20,Meijer,48066
fruit canned ,3,dry grocery ,2.09,Meijer,48066
furniture polish ,9,household goods,2.98,Meijer,48066
grapes ,1,produce ,0.64,Meijer,48066
honey ,2,dry grocery ,2.95,Meijer,48066
ice cream ,19,,2.73,Meijer,48066
Ice Cream Toppings,14,,8.93,Meijer,48066
ink pens ,8,art supplies ,3.74,Meijer,48066
insectisides ,8,,2.62,Meijer,48066
instant breakfast ,7,,2.74,Meijer,48066
international foods ,4,,3.75,Meijer,48066
jello mix,3,dry grocery ,0.77,Meijer,48066
jelly ,2,,2.74,Meijer,48066
juice can ,3,,2.62,Meijer,48066
juice frozen ,13,,2.31,Meijer,48066
jumper cables,10,automotive ,12.64,Meijer,48066
ketchup ,5,dry grocery ,1.84,Meijer,48066
kitkat ,19,dry grocery ,4.74,Meijer,48066
Kool Aid,14,,3.24,Meijer,48066
light bulbs,9,,0.84,Meijer,48066
lighter fluid ,2,,2.73,Meijer,48066
lipstick ,15,comestics ,0.84,Meijer,48066
macaroni,5,,1.74,Meijer,48066
magazines ,19,,4.70,Meijer,48066
marshmellow creme ,6,,2.77,Meijer,48066
marshmellows,3,,2.74,Meijer,48066
matches ,2,,1.74,Meijer,48066
mayonnaise ,5,,1.87,Meijer,48066
milk ,13,,1.84,Meijer,48066
mop ,8,,3.74,Meijer,48066
mouthwash ,18,,2.73,Meijer,48066
mustard,5,,2.98,Meijer,48066
napkins ,14,,5.74,Meijer,48066
nuts snack,14,,2.74,Meijer,48066
oatmeal ,7,,3.17,Meijer,48066
oil filter ,9,automotive ,3.20,Meijer,48066
olive oil ,6,,5.19,Meijer,48066
olives ,5,,3.08,Meijer,48066
oven cleaner ,9,,4.74,Meijer,48066
pancake mix ,6,,4.34,Meijer,48066
panty hose ,18,,3.74,Meijer,48066
Paper Towels,16,,1.74,Meijer,48066
Pasta,5,,2.34,Meijer,48066
Peanut Butter,2,,1.04,Meijer,48066
Pet Food,15,,7.74,Meijer,48066
Pickles,5,,1.74,Meijer,48066
Pie Filling ,6,,3.75,Meijer,48066
Pimento,3,,2.74,Meijer,48066
Pizza Mix,4,,1.14,Meijer,48066
pizza slicer ,6,kitchen supplies ,4.74,Meijer,48066
Plastic Forks,14,,0.86,Meijer,48066
Plastic Spoons,14,,0.86,Meijer,48066
Plastic Wrap,2,,3.04,Meijer,48066
Plates,14,,2.74,Meijer,48066
Pop,11,,1.75,Meijer,48066
Popcorn,14,,1.25,Meijer,48066
poster paint,8,art supplies,2.74,Meijer,48066
Potato Chips,10,,4.04,Meijer,48066
Potatoes,4,,1.00,Meijer,48066
Powdered Milk,6,,1.74,Meijer,48066
Pudding,3,,2.28,Meijer,48066
Raisins,6,,0.74,Meijer,48066
Relish,5,,0.95,Meijer,48066
Rice,4,,3.24,Meijer,48066
Rubbermaid,8,,2.25,Meijer,48066
Salad Dressing,5,,0.95,Meijer,48066
Salt,6,,0.55,Meijer,48066
Sanitary Napkins,18,,0.75,Meijer,48066
Sauce/Gravy,3,,2.14,Meijer,48066
Sauerkraut,3,,0.95,Meijer,48066
School Supplies ,8,,0.95,Meijer,48066
Scotch Tape,8,,1.34,Meijer,48066
shampoo,17,personal goods,1.73,Meijer,48066
Shoe Care,16,,3.74,Meijer,48066
Shoe Polish,16,,1.74,Meijer,48066
Shoe Strings ,16,,1.04,Meijer,48066
Shortening,6,,3.04,Meijer,48066
Snack Crackers,11,,2.24,Meijer,48066
Soft Drinks,11,,3.31,Meijer,48066
Soup,4,,1.74,Meijer,48066
Spaghetti,5,,2.28,Meijer,48066
spam ,4,meat,2.74,Meijer,48066
Spices,6,,2.85,Meijer,48066
Starch,6,,0.85,Meijer,48066
Straws,14,,0.74,Meijer,48066
Stuffing,4,,2.24,Meijer,48066
sugar ,6,baking needs,4.31,Meijer,48066
sugar ,6,,1.05,Meijer,48066
Syrups,6,,2.34,Meijer,48066
Table Napkins,14,,0.75,Meijer,48066
Tape,8,,1.34,Meijer,48066
Tea,5,,2.74,Meijer,48066
Tissues,14,,2.17,Meijer,48066
Toilet Bowl Cleaner,9,,1.22,Meijer,48066
Tomato Paste,3,,3.42,Meijer,48066
Tomato Sauce,3,,1.20,Meijer,48066
Toothbrush,18,,3.04,Meijer,48066
Toothpaste/Brushes,18,,3.25,Meijer,48066
Toothpicks,14,,2.34,Meijer,48066
Towels,16,,3.24,Meijer,48066
Trash Bags,2,,1.14,Meijer,48066
Tuna,4,,1.14,Meijer,48066
Vinegar,6,,1.74,Meijer,48066
Vitamins,OTC,,6.75,Meijer,48066
Wax Paper,2,,2.14,Meijer,48066
Window Cleaner,9,,3.74,Meijer,48066
Wine ,12,,25.74,Meijer,48066
